,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Onslow County, North Carolina",Onslow County,NorthCarolina,24266,33.59,46078,63.79,1891,2.62,2.30%,5.60%,29.70%,26.10%,10.60%,17.60%,8.00%,0.4196,"59,976","76,084",1973.79,103.2,204576,13.51,63.3,13.17,0.5,2.2,0.38,0.56,6.38,34.04,19.01,23.01,12.14,11.8
"Orange County, North Carolina",Orange County,NorthCarolina,63594,74.82,20176,23.74,1227,1.44,3.00%,3.60%,12.70%,11.90%,7.20%,27.60%,34.10%,0.5142,"85,785","1,30,452",1029.62,141.72,148696,10.63,64.92,10.47,0.22,8.48,0.03,0.54,4.7,59.63,14.96,14.53,5.32,5.56
"Pamlico County, North Carolina",Pamlico County,NorthCarolina,2713,35.55,4849,63.54,69,0.9,3.20%,6.70%,31.60%,24.40%,9.60%,12.40%,12.00%,0.479,"55,867","78,395",871.57,14.13,12276,4.04,74.16,16.74,0.47,0.41,0.04,0.42,3.72,27.75,17.09,19.2,18.67,17.29
"Pasquotank County, North Carolina",Pasquotank County,NorthCarolina,9832,49.41,9770,49.1,295,1.48,3.20%,7.10%,28.50%,25.20%,9.90%,17.20%,8.90%,0.4412,"61,411","80,520",587.61,68.84,40568,5.51,53.19,35.29,0.37,1.13,0.07,0.44,4,33.8,17.35,22.11,10.83,15.91
"Pender County, North Carolina",Pender County,NorthCarolina,11723,34.31,21956,64.26,490,1.43,3.10%,6.60%,28.10%,22.70%,10.80%,19.20%,9.40%,0.4355,"74,538","93,195",2256.65,27.29,60203,8.28,73.78,12.53,0.32,0.53,0.04,0.4,4.12,36.78,17.33,19.87,13.18,12.84
"Perquimans County, North Carolina",Perquimans County,NorthCarolina,2492,33.3,4903,65.51,89,1.19,3.80%,9.80%,32.30%,25.70%,8.80%,10.90%,8.70%,0.3959,"59,401","73,754",640.17,20.39,13005,2.38,71.76,20.65,0.27,0.28,0.05,0.32,4.29,30.72,19.02,21.31,13.81,15.14
"Person County, North Carolina",Person County,NorthCarolina,8465,38.66,13184,60.22,245,1.12,3.60%,7.90%,35.30%,23.50%,12.10%,12.70%,4.90%,0.4464,"60,688","77,763",1016.15,38.51,39097,5.61,64.28,25.27,0.61,0.32,0.02,0.31,3.58,33.26,16.91,19.24,12.68,17.9
"Pitt County, North Carolina",Pitt County,NorthCarolina,47252,53.96,38982,44.51,1339,1.53,3.60%,6.20%,24.60%,19.70%,12.80%,20.00%,13.20%,0.4788,"54,915","76,312",1689.62,101.32,170243,7.62,51.01,35.13,0.29,1.8,0.06,0.44,3.66,40.91,18.79,19.9,6.7,13.7
"Polk County, North Carolina",Polk County,NorthCarolina,4518,36.56,7689,62.22,151,1.22,2.20%,5.10%,26.60%,21.70%,11.20%,21.40%,11.90%,0.4624,"60,465","81,177",615.61,31.74,19328,5.31,86.49,3.56,0.26,0.31,0.04,0.21,3.82,34.46,17.88,22.17,12.7,12.8
"Randolph County, North Carolina",Randolph County,NorthCarolina,15618,21.3,56894,77.6,804,1.1,5.80%,10.20%,35.10%,22.00%,10.10%,11.90%,4.90%,0.4279,"56,423","72,112",2026.24,71.27,144171,13.21,75.16,5.96,0.46,1.5,0.01,0.29,3.42,29.26,15.79,20.71,9.69,24.54
"Richmond County, North Carolina",Richmond County,NorthCarolina,8754,42.16,11830,56.98,179,0.86,5.70%,11.60%,31.00%,22.40%,12.10%,10.70%,6.60%,0.4699,"42,354","58,581",1226.85,35.17,42946,7.15,54.98,29.74,2.31,0.84,0.02,0.39,4.58,29.82,18.75,17.41,13.2,20.82
"Robeson County, North Carolina",Robeson County,NorthCarolina,19020,40.31,27806,58.93,362,0.77,6.80%,14.90%,33.70%,19.80%,10.20%,9.50%,5.10%,0.5047,"39,393","57,841",2453.48,47.92,116530,10.09,25.02,22.5,37.36,0.77,0.05,0.35,3.85,27.29,19.29,17.67,14.85,20.89
"Rockingham County, North Carolina",Rockingham County,NorthCarolina,15992,33.45,31301,65.47,516,1.08,5.00%,11.30%,35.00%,22.70%,10.50%,10.60%,4.90%,0.461,"50,737","68,574",1465.01,62.26,91096,6.68,70.49,18.23,0.31,0.54,0.03,0.32,3.39,28.29,17.64,20.33,12.9,20.85
"Rowan County, North Carolina",Rowan County,NorthCarolina,23114,31.49,49297,67.15,997,1.36,4.30%,8.30%,33.20%,22.50%,11.20%,14.60%,5.90%,0.4501,"59,717","78,418",1325.06,110.99,146875,10.85,68.18,15.48,0.3,1.02,0.05,0.36,3.75,31.79,16.62,17.85,13.05,20.69
"Rutherford County, North Carolina",Rutherford County,NorthCarolina,9135,26.53,24891,72.3,403,1.17,4.50%,9.60%,30.90%,23.70%,11.50%,13.00%,6.80%,0.4697,"50,512","69,897",1464.48,44.17,64444,5.1,80.73,9.06,0.24,0.53,0.04,0.33,3.98,28.87,20.19,18.23,11.53,21.18
"Sampson County, North Carolina",Sampson County,NorthCarolina,10966,38.32,17411,60.84,241,0.84,7.00%,10.40%,36.00%,20.70%,11.00%,10.40%,4.50%,0.4621,"49,963","67,874",2449.95,24.21,59036,20.75,50.36,23.62,1.7,0.37,0.03,0.26,2.92,28.42,15.27,18.62,17.39,20.3
"Scotland County, North Carolina",Scotland County,NorthCarolina,7186,48.64,7473,50.58,116,0.79,3.30%,14.40%,35.20%,22.20%,10.40%,9.10%,5.40%,0.5042,"41,948","61,126",826.57,41.4,34174,3.24,41.69,38.32,10.84,0.99,0.04,0.33,4.55,26.01,18.61,18.26,8.95,28.18
"Stanly County, North Carolina",Stanly County,NorthCarolina,8129,23.95,25458,75.01,352,1.04,4.40%,9.60%,32.80%,22.00%,12.40%,13.20%,5.50%,0.454,"60,634","80,127",1023.25,61.3,62504,4.94,77.83,11.2,0.34,1.82,0.01,0.21,3.65,30,16.94,19.51,14.28,19.27
"Stokes County, North Carolina",Stokes County,NorthCarolina,5286,20.57,20142,78.37,273,1.06,4.10%,8.40%,38.20%,22.50%,10.60%,10.50%,5.60%,0.4397,"57,539","75,020",1163.74,38.41,44520,3.27,88.97,3.64,0.31,0.35,0.02,0.17,3.26,30.37,17.86,19.1,12.82,19.86
"Surry County, North Carolina",Surry County,NorthCarolina,8721,23.8,27538,75.16,379,1.03,7.00%,11.00%,29.20%,22.80%,11.80%,12.20%,6.00%,0.4808,"52,743","72,597",1379.54,51.78,71359,11.91,80.96,3.38,0.18,0.52,0.02,0.21,2.83,30.01,16.18,21.81,11.59,20.4
"Swain County, North Carolina",Swain County,NorthCarolina,2780,39.33,4161,58.87,127,1.8,4.50%,10.40%,32.60%,21.10%,10.30%,12.50%,8.60%,0.4472,"52,818","71,082",1366.8,10.34,14117,4.19,60.5,0.72,28.55,0.38,0.07,0.31,5.28,30.08,32.08,15.47,13.99,8.38
"Transylvania County, North Carolina",Transylvania County,NorthCarolina,8444,41.38,11636,57.03,324,1.59,1.80%,4.40%,24.00%,23.10%,9.60%,23.80%,13.30%,0.4497,"62,056","81,444",979.94,33.81,32986,5.15,86.53,3.11,0.31,0.52,0.07,0.35,3.96,37.34,21.04,21.35,10.69,9.57
"Tyrrell County, North Carolina",Tyrrell County,NorthCarolina,758,41.72,1044,57.46,15,0.83,4.40%,18.30%,37.60%,20.50%,7.00%,7.80%,4.40%,0.4035,"55,341","59,662",1012.11,3.35,3245,8.38,57.9,28.78,0.15,1.33,0,0.4,3.05,30.93,25.34,14.92,20.42,8.39
"Union County, North Carolina",Union County,NorthCarolina,48725,37.19,80382,61.36,1904,1.45,3.90%,5.60%,22.90%,20.10%,9.00%,25.50%,13.00%,0.4464,"95,533","1,29,144",1638.78,146.52,238267,12.64,67.62,11.12,0.27,3.99,0.04,0.5,3.82,45,12.78,21.02,9.39,11.8
"Vance County, North Carolina",Vance County,NorthCarolina,12431,59.2,8391,39.96,177,0.84,5.00%,10.30%,35.20%,22.80%,8.80%,12.20%,5.60%,0.458,"48,340","65,186",653.7,65,42578,8.73,38.15,49.51,0.21,0.67,0.02,0.26,2.45,29.94,20.66,20.38,8.46,20.57
"Wake County, North Carolina",Wake County,NorthCarolina,393336,62.25,226197,35.8,12297,1.95,2.70%,3.30%,14.60%,15.60%,8.10%,33.80%,21.90%,0.4505,"96,734","1,28,312",2161.63,523.73,1129410,11.35,57.11,18.11,0.24,8.56,0.04,0.55,4.03,55.7,12.18,19.03,5.26,7.84
"Warren County, North Carolina",Warren County,NorthCarolina,6400,62.18,3752,36.45,141,1.37,3.90%,10.70%,39.80%,18.60%,9.70%,11.40%,5.90%,0.5172,"42,282","68,890",1112.12,16.91,18642,3.96,38.67,48.54,5.11,0.33,0.02,0.35,3.01,28.88,18.66,18.94,10.15,23.36
"Washington County, North Carolina",Washington County,NorthCarolina,3396,54.73,2781,44.82,28,0.45,7.30%,6.90%,33.60%,26.80%,11.30%,10.70%,3.40%,0.5066,"38,927","55,923",897.46,12.31,11003,3.37,45.06,48.62,0.14,0.34,0.03,0.33,2.12,26.23,15.67,25.56,18.44,14.1
"Watauga County, North Carolina",Watauga County,NorthCarolina,17122,53.14,14451,44.85,647,2.01,2.90%,4.70%,21.50%,19.00%,7.40%,24.10%,20.40%,0.5087,"50,034","75,648",809.21,67.4,54086,6.51,83.17,3.88,0.15,1.73,0.02,0.81,3.71,39.4,21.86,23.03,7.82,7.9
"Wayne County, North Carolina",Wayne County,NorthCarolina,24215,43.6,30709,55.29,613,1.1,6.10%,8.20%,29.70%,23.60%,12.40%,13.90%,6.10%,0.4663,"54,323","74,878",1434.65,81.89,117333,12.72,51.31,30.11,0.29,1.31,0.06,0.39,3.81,31.18,17.86,19.54,12.01,19.41
"Wilkes County, North Carolina",Wilkes County,NorthCarolina,7511,21.18,27592,77.8,363,1.02,5.90%,12.60%,32.70%,21.10%,11.30%,11.60%,4.80%,0.437,"49,119","64,650",1952.02,33.88,65969,7.05,85.37,3.91,0.13,0.49,0.01,0.2,2.84,28.27,18.86,19.05,10.38,23.44
"Wilson County, North Carolina",Wilson County,NorthCarolina,20754,50.95,19581,48.07,400,0.98,6.80%,9.80%,33.50%,19.50%,10.00%,13.00%,7.40%,0.4757,"49,827","68,493",952.01,82.63,78784,11.45,45.83,37.88,0.3,1.14,0.01,0.33,3.05,35.1,15.42,18.91,9.81,20.77
"Yadkin County, North Carolina",Yadkin County,NorthCarolina,3763,18.89,15933,79.97,227,1.14,4.90%,8.70%,36.20%,23.20%,12.90%,10.70%,3.40%,0.4622,"57,486","78,890",867.5,42.97,37214,11.78,81.57,2.88,0.17,0.38,0,0.23,2.99,32.94,16.54,17.02,12.28,21.21
"Yancey County, North Carolina",Yancey County,NorthCarolina,3688,32.49,7516,66.21,148,1.3,4.10%,7.30%,34.50%,20.70%,11.00%,14.40%,8.00%,0.4679,"53,103","72,533",809.61,22.9,18470,5.5,90.01,0.56,0.31,0.22,0.01,0.22,3.18,30.2,21.78,17.05,11.75,19.23
"Adams County, North Dakota",Adams County,NorthDakota,258,20.33,981,77.3,30,2.36,2.10%,4.60%,36.90%,25.00%,11.00%,13.30%,7.20%,0.4704,"57,950","79,096",2557.73,0.86,2200,1.64,92.18,0.55,0.64,1.77,0.05,0,3.18,41.46,13.47,20.3,19.45,5.31
"Barnes County, North Dakota",Barnes County,NorthDakota,1820,32.7,3568,64.12,177,3.18,2.00%,3.10%,31.20%,20.30%,14.80%,21.60%,7.10%,0.4572,"64,447","85,080",3863.12,2.8,10853,1.7,91.81,1.63,0.85,0.64,0.02,0.22,3.13,34.09,18.67,20.66,13.92,12.66
"Benson County, North Dakota",Benson County,NorthDakota,822,41.92,1094,55.79,45,2.29,2.60%,10.20%,30.20%,19.00%,17.30%,14.70%,5.90%,0.4918,"63,220","77,560",3596.34,1.66,5964,1.49,42.45,0.03,53.49,0.12,0,0.02,2.4,42.53,21.04,14.21,10.01,12.21
"Billings County, North Dakota",Billings County,NorthDakota,72,11.34,541,85.2,22,3.46,1.50%,3.30%,35.50%,13.00%,17.80%,19.90%,9.00%,0.3794,"74,000","92,045",2974.57,0.28,945,2.33,95.45,0.42,0.32,0.63,0,0,0.85,43.13,20.62,12.32,18.01,5.92
"Bottineau County, North Dakota",Bottineau County,NorthDakota,821,23.65,2575,74.19,75,2.16,1.70%,5.60%,30.50%,22.40%,13.40%,19.70%,6.60%,0.4689,"80,113","1,04,957",4322.32,1.48,6379,2.21,89.17,0.49,3.09,0.66,0.02,0.2,4.17,37.17,13.57,16.88,20.68,11.7
"Bowman County, North Dakota",Bowman County,NorthDakota,228,13.76,1395,84.19,34,2.05,2.20%,8.70%,33.40%,19.40%,14.50%,15.00%,6.80%,0.3608,"79,709","93,041",3009.07,0.99,2993,4.31,92.22,0,1.14,0.57,0.1,0,1.67,37.36,15.85,16.34,19.34,11.1
"Burke County, North Dakota",Burke County,NorthDakota,137,11.86,994,86.06,24,2.08,2.20%,5.90%,26.50%,26.70%,14.00%,20.50%,4.20%,0.4328,"94,583","1,19,789",2858.36,0.76,2201,2.68,93.09,0.55,0.95,0.55,0,0.23,1.95,42.69,18.5,14.71,11.1,13
"Burleigh County, North Dakota",Burleigh County,NorthDakota,14348,28.27,34744,68.46,1661,3.27,2.20%,2.90%,23.20%,18.60%,15.90%,26.40%,10.90%,0.4295,"82,141","1,05,791",4228.66,23.28,98458,3.13,85.67,2.26,4.12,1.06,0.32,0.21,3.23,42.2,16.23,21.26,9.72,10.6
"Cass County, North Dakota",Cass County,NorthDakota,40311,46.84,42619,49.53,3123,3.63,1.90%,2.40%,18.90%,20.70%,13.40%,29.10%,13.50%,0.4653,"73,249","1,01,026",4571.16,40.76,184525,3.35,80.99,6.92,1.28,3.27,0.04,0.25,3.9,44.15,17.02,19.61,8.13,11.09
"Cavalier County, North Dakota",Cavalier County,NorthDakota,474,23.47,1499,74.21,47,2.33,3.20%,3.50%,25.90%,28.00%,15.80%,20.40%,3.10%,0.5004,"61,174","99,327",3856.82,0.96,3704,1.21,94.09,0.05,0.76,0.43,0,0.4,3.05,43.08,11.07,22.19,14.77,8.89
"Dickey County, North Dakota",Dickey County,NorthDakota,608,25.08,1742,71.86,74,3.05,3.90%,4.70%,26.70%,19.30%,18.70%,20.90%,5.90%,0.4723,"60,250","89,244",2930.55,1.71,4999,3.98,91.46,0.38,0.52,0.54,0,0.34,2.78,33.97,17.78,18.06,14.21,15.99
"Divide County, North Dakota",Divide County,NorthDakota,265,22.05,904,75.21,33,2.75,4.30%,5.30%,23.00%,27.50%,18.60%,15.00%,6.30%,0.3971,"95,938","1,08,282",3266.31,0.67,2195,2.41,92.21,1.05,0.77,0.5,0.18,0.14,2.73,44.62,16.23,15.82,16.23,7.1
"Dunn County, North Dakota",Dunn County,NorthDakota,342,14.63,1951,83.45,45,1.92,5.30%,4.10%,34.30%,21.80%,15.50%,14.70%,4.20%,0.4466,"91,758","1,23,039",5201.97,0.78,4095,2.61,79.15,0.56,11.11,0.78,0,0.24,5.54,29.74,12.02,18.92,18.09,21.22
"Eddy County, North Dakota",Eddy County,NorthDakota,383,30.37,854,67.72,24,1.9,3.60%,4.40%,29.90%,22.30%,12.90%,19.90%,7.00%,0.4845,"50,375","73,032",1632.31,1.44,2347,3.28,89.56,0.21,2.56,0,0,0,4.39,43.53,14.12,20.63,9.32,12.4
"Emmons County, North Dakota",Emmons County,NorthDakota,237,11.8,1738,86.51,34,1.69,6.40%,4.20%,35.00%,23.20%,13.20%,13.10%,5.00%,0.4482,"63,750","82,133",3906.74,0.84,3301,1.06,95.79,0,0.39,0.36,0,0.24,2.15,44.94,9.55,16.3,13.94,15.28
"Foster County, North Dakota",Foster County,NorthDakota,373,20.98,1362,76.6,43,2.42,2.20%,3.40%,29.70%,23.50%,18.70%,18.80%,3.60%,0.426,"78,426","89,998",1642.26,2.06,3397,1.94,94.17,0.21,0.53,0.38,0,0.18,2.59,35.4,13.27,26.77,13.77,10.79
"Golden Valley County, North Dakota",Golden Valley County,NorthDakota,137,13.35,871,84.89,18,1.75,1.90%,3.40%,22.50%,31.60%,17.00%,16.20%,7.40%,0.3775,"84,750","92,758",2592.28,0.67,1736,2.76,92.17,0.29,0.69,0.06,0.06,0.23,3.74,36.91,18.4,17.65,8.52,18.52
"Grand Forks County, North Dakota",Grand Forks County,NorthDakota,12880,41.59,16987,54.85,1103,3.56,1.50%,2.90%,22.20%,22.70%,14.00%,24.20%,12.50%,0.4586,"64,698","86,429",3719.81,19.61,73170,5,80.3,4.11,2.24,3.39,0.07,0.23,4.66,38.9,19.35,19.7,9.01,13.04
"Grant County, North Dakota",Grant County,NorthDakota,207,14.99,1145,82.91,29,2.1,5.00%,3.20%,32.70%,23.80%,14.30%,17.80%,3.30%,0.5048,"57,069","80,418",4297.39,0.54,2301,1.13,94.26,0.43,1.39,0.48,0,0,2.3,49.86,13.18,18.15,12.23,6.59
"Griggs County, North Dakota",Griggs County,NorthDakota,308,24.64,907,72.56,35,2.8,5.40%,3.40%,32.20%,21.90%,10.40%,18.90%,7.80%,0.5055,"66,688","98,397",1835.49,1.26,2306,1.04,95.4,0.35,0.52,0.3,0,0.17,2.21,46.13,15.93,15.23,13.03,9.68
"Hettinger County, North Dakota",Hettinger County,NorthDakota,196,14.94,1091,83.16,25,1.91,6.10%,5.90%,33.40%,26.60%,10.30%,12.80%,4.90%,0.4981,"66,797","84,749",2932.49,0.84,2489,1.37,93.17,0.2,1.69,0.2,0.28,0.32,2.77,36.48,13.56,17.41,14.44,18.11
"Kidder County, North Dakota",Kidder County,NorthDakota,221,15.14,1215,83.22,24,1.64,3.50%,6.60%,32.90%,22.10%,16.20%,15.40%,3.20%,0.4321,"57,240","69,876",3499.23,0.68,2394,2.17,94.86,0.13,0.46,0.04,0.21,0,2.13,39.92,13.86,15.12,17.73,13.37
"LaMoure County, North Dakota",LaMoure County,NorthDakota,527,23.75,1645,74.13,47,2.12,5.80%,4.10%,29.10%,25.10%,10.60%,20.40%,4.90%,0.4097,"70,227","87,690",2968.14,1.39,4093,2.15,95.21,0.15,0.49,0.17,0.1,0.24,1.49,42.61,15.81,18.5,13.42,9.66
"Logan County, North Dakota",Logan County,NorthDakota,128,11.9,930,86.43,18,1.67,6.00%,2.70%,27.90%,20.40%,18.70%,19.60%,4.80%,0.4419,"59,750","75,824",2570.82,0.72,1876,1.87,94.51,0.11,0.59,0,0,0.05,2.88,46.09,12.6,13.54,19.02,8.75
"McHenry County, North Dakota",McHenry County,NorthDakota,564,18.78,2364,78.72,75,2.5,3.90%,5.50%,33.10%,22.70%,15.30%,15.70%,3.70%,0.4281,"78,071","90,514",4853.49,1.1,5345,1.83,93.99,0.21,0.51,0.22,0.11,0,3.12,40.97,14.55,18.45,13.45,12.58
"McIntosh County, North Dakota",McIntosh County,NorthDakota,261,17.94,1153,79.24,41,2.82,8.50%,4.00%,35.00%,16.40%,19.50%,12.40%,4.30%,0.4461,"64,375","78,683",2524.11,1,2530,2.09,93.87,0.28,0.2,0.91,0,0.32,2.33,41.6,16.42,13.79,17.51,10.69
"McKenzie County, North Dakota",McKenzie County,NorthDakota,814,15.02,4482,82.71,123,2.27,1.60%,5.70%,28.00%,24.60%,15.40%,19.30%,5.30%,0.4682,"83,813","1,19,287",7148.71,1.97,14704,10.42,69.83,1.46,12.4,1.16,0.03,0.46,4.24,33.99,13.81,16.72,21.65,13.84
"McLean County, North Dakota",McLean County,NorthDakota,1230,22.22,4198,75.83,108,1.95,3.10%,3.70%,32.20%,21.40%,17.40%,18.20%,4.00%,0.3777,"80,556","93,556",5465.58,1.79,9771,1.51,85.68,0.33,7.84,0.49,0.07,0.17,3.9,36.19,14.91,16.71,19.34,12.84
"Mercer County, North Dakota",Mercer County,NorthDakota,704,15.06,3856,82.48,115,2.46,4.40%,6.00%,25.10%,25.20%,19.30%,15.10%,4.80%,0.3841,"82,155","94,760",2700.79,3.1,8350,2.61,90.67,0.5,2.31,0.51,0.01,0.22,3.16,22.61,18.33,23.7,22.69,12.66
"Morton County, North Dakota",Morton County,NorthDakota,3872,23.3,12243,73.67,504,3.03,3.20%,3.30%,28.70%,24.30%,13.90%,21.00%,5.70%,0.4383,"79,555","1,04,894",4988.03,6.65,33291,3.94,86.5,1.39,3.72,0.51,0.12,0.22,3.6,38.32,19.39,19.13,10.05,13.11
"Mountrail County, North Dakota",Mountrail County,NorthDakota,1256,30.16,2824,67.8,85,2.04,3.70%,7.40%,31.80%,22.80%,11.70%,15.10%,7.60%,0.4471,"81,886","1,03,354",4727.15,2.04,9809,7.83,56.47,1.15,27.9,1.07,0.03,0.35,5.2,35.74,16.3,21.54,13.33,13.08
"Nelson County, North Dakota",Nelson County,NorthDakota,586,32.98,1141,64.21,50,2.81,2.40%,3.50%,27.60%,22.90%,14.90%,21.30%,7.30%,0.457,"62,219","80,905",2542.89,1.19,3015,2.29,94.33,0.2,0.53,0.3,0.03,0.17,2.16,43.27,16.69,17.64,12.81,9.59
"Oliver County, North Dakota",Oliver County,NorthDakota,129,12.1,918,86.12,19,1.78,2.00%,3.30%,30.90%,30.90%,11.20%,16.00%,5.60%,0.3815,"69,722","93,800",1871.02,0.98,1877,1.49,93.5,0.16,1.23,0.27,0.16,0.05,3.14,38.08,16.28,21.79,13.97,9.87
"Pembina County, North Dakota",Pembina County,NorthDakota,786,23.6,2460,73.85,85,2.55,3.50%,4.30%,32.70%,23.50%,14.00%,16.90%,5.00%,0.4563,"64,243","87,245",2896.99,2.37,6844,3.55,89.07,0.39,1.94,0.39,0,0.32,4.32,33.96,14.59,20.31,13.24,17.9
"Pierce County, North Dakota",Pierce County,NorthDakota,497,23.36,1585,74.48,46,2.16,2.30%,4.60%,29.60%,20.80%,13.40%,20.10%,9.30%,0.4268,"59,583","79,592",2637.35,1.52,3990,1.8,90.5,0.9,3.66,0.43,0.13,0.25,2.33,48.52,13.72,16.19,12.21,9.36
"Ramsey County, North Dakota",Ramsey County,NorthDakota,1639,30.51,3577,66.59,156,2.9,2.10%,5.10%,26.80%,22.40%,18.00%,18.90%,6.50%,0.4625,"61,490","80,272",3070.09,3.78,11605,2.36,80.6,0.63,10.57,0.62,0.09,0.07,5.06,35.21,22.92,17.91,12.68,11.28
"Ransom County, North Dakota",Ransom County,NorthDakota,945,38.51,1418,57.78,91,3.71,3.80%,5.30%,35.50%,20.50%,13.60%,15.80%,5.30%,0.4066,"71,462","85,458",2233.79,2.54,5703,2.26,94.04,0.63,0.32,0.42,0,0.18,2.16,33.18,13.85,14.52,12.54,25.91
"Renville County, North Dakota",Renville County,NorthDakota,220,16.68,1065,80.74,34,2.58,5.10%,3.80%,31.40%,25.70%,11.30%,17.80%,5.00%,0.3647,"77,067","92,560",2272.05,1,2282,1.62,94.04,0.22,0.61,0,0,0.09,3.42,27.01,12.83,24.15,19.16,16.84
"Richland County, North Dakota",Richland County,NorthDakota,2510,32.13,5072,64.93,230,2.94,2.20%,4.20%,24.60%,23.80%,21.20%,19.00%,5.00%,0.4678,"67,089","91,166",3718.38,4.45,16529,3.47,88.95,0.94,2.62,0.74,0.11,0.14,3.02,33.78,18.9,16.41,12.12,18.8
"Rolette County, North Dakota",Rolette County,NorthDakota,2482,65.25,1257,33.04,65,1.71,3.70%,10.90%,27.80%,24.60%,16.80%,11.00%,5.20%,0.4444,"53,806","69,053",2338.87,5.26,12187,1.12,18.86,0.11,75.57,0.19,0.07,0.07,4.02,36.08,27.38,15.94,9.44,11.17
"Sargent County, North Dakota",Sargent County,NorthDakota,738,35.65,1266,61.16,66,3.19,1.70%,4.10%,35.10%,23.30%,17.40%,14.10%,4.40%,0.4011,"75,648","93,585",2223.46,1.72,3862,2.36,92.44,1.24,0.21,0.34,0,0,3.42,34.98,12.16,12.25,11.58,29.02
"Sheridan County, North Dakota",Sheridan County,NorthDakota,104,12.81,688,84.73,20,2.46,2.90%,6.60%,39.90%,24.10%,12.00%,13.60%,0.80%,0.4085,"68,684","83,864",2518.05,0.53,1265,0.79,94.15,0.16,0.87,0.47,0,0.32,3.24,39.27,11.61,22.26,18.92,7.95
"Sioux County, North Dakota",Sioux County,NorthDakota,804,67.79,258,21.75,124,10.46,3.40%,10.70%,36.20%,24.40%,13.80%,8.70%,2.70%,0.5154,"41,201","59,293",2833.58,1.37,3898,1.62,10.29,0.08,84.17,0.05,0,0,3.8,35.77,28.92,14.93,11.17,9.2
"Slope County, North Dakota",Slope County,NorthDakota,44,10.3,380,88.99,3,0.7,1.70%,6.70%,34.90%,17.20%,16.70%,19.20%,3.60%,0.4445,"70,625","96,181",3147.52,0.27,706,1.13,96.18,0,0.28,0,0,0,2.41,58.33,8.81,5,17.14,10.71
"Stark County, North Dakota",Stark County,NorthDakota,2499,16.6,12110,80.47,441,2.93,3.00%,5.10%,31.50%,22.60%,12.60%,18.90%,6.40%,0.4317,"78,734","98,095",3457.41,9.54,33646,6.76,84.13,3.07,1.17,1.02,0.15,0.26,3.44,33.5,13.49,19.99,15.93,17.09
"Steele County, North Dakota",Steele County,NorthDakota,392,36.03,652,59.93,44,4.04,1.00%,2.80%,24.20%,31.20%,10.80%,26.60%,3.40%,0.4129,"85,750","94,649",1844.44,0.96,1798,2,95.72,0.17,0.39,0,0,0,1.72,48.33,8.25,15.91,12.8,14.71
"Stutsman County, North Dakota",Stutsman County,NorthDakota,2676,26.87,6994,70.23,289,2.9,3.30%,5.00%,36.50%,20.90%,9.90%,18.00%,6.40%,0.4981,"59,167","85,575",5754.7,3.76,21593,2.75,90.33,2.06,1.37,0.63,0.02,0.11,2.74,35.63,20.4,24.06,8.69,11.23
"Towner County, North Dakota",Towner County,NorthDakota,317,27,830,70.7,27,2.3,6.50%,8.10%,28.20%,23.10%,17.10%,13.80%,3.30%,0.4744,"61,250","83,939",2655.03,0.81,2162,1.57,91.77,0.09,3.28,0.46,0.05,0.19,2.59,42.4,14.73,21.34,13.79,7.74
"Traill County, North Dakota",Traill County,NorthDakota,1493,36.1,2522,60.98,121,2.93,3.10%,3.10%,25.90%,21.50%,15.80%,22.10%,8.60%,0.423,"81,157","99,090",2232.24,3.59,7997,3.71,91.42,0.6,0.75,0.23,0.05,0.13,3.11,42.97,15.86,17.94,11.34,11.87
"Walsh County, North Dakota",Walsh County,NorthDakota,1333,27.87,3324,69.5,126,2.63,6.90%,6.20%,35.50%,19.40%,14.10%,12.50%,5.40%,0.4358,"68,082","87,075",3319.35,3.18,10563,12.46,82.14,0.65,1.29,0.43,0,0.29,2.75,36.99,15.85,15.76,15.85,15.55
"Ward County, North Dakota",Ward County,NorthDakota,7293,25.82,19974,70.71,979,3.47,2.90%,3.10%,28.80%,23.60%,12.30%,20.30%,9.10%,0.4329,"78,143","97,908",5213.72,13.34,69919,6.56,79.62,4.08,2.25,1.55,0.18,0.36,5.39,36.52,16.53,19.2,13.86,13.89
"Wells County, North Dakota",Wells County,NorthDakota,442,18.62,1893,79.74,39,1.64,4.70%,4.10%,37.70%,21.60%,10.30%,18.40%,3.20%,0.5054,"59,732","89,656",3290.66,1.21,3982,0.95,95.03,0.45,0.43,0.3,0,0.1,2.74,42.26,19.5,13,14.29,10.94
